Municipality;Address;Building;Year_of_listing;Year_of_construction;Period;Description;Full_address;Latitude;Longitude
Aabenraa;Slotsmøllevej 1 (tidl;Ved Slottet 1);1921;ca. 1550;Renaissance;Aabenraa Slotsvandmølle. Vandmøllebygningen (ca. 1550). Fredet 1921.*;Slotsmøllevej 1 (tidl, Aabenraa, Danmark;;
Aabenraa;Store Pottergade 11;Store Pottergade 11;1977;1600;Renaissance;Det trefags forhus (østlige våning i boderækken fra slutn. af 1600-tallet, gadesidens stueetage grundmuret mellem 1744 og 1754 og 2. etage mellem 1805 og 1815). Fredet 1977.*;Store Pottergade 11, Aabenraa, Danmark;55,0448200;9,4176960
Aabenraa;Storegade 11;Storegade 11;1977;1610;Renaissance;Det 10 fag dybe bindingsværksgavlhus (kort efter 1610, gavlen mod gaden grundmuret 1752, de seks forreste fag af sydsiden 1833). Fredet 1977.*;Storegade 11, Aabenraa, Danmark;55,0442740;9,4189500
Aabenraa;Vægterpladsen 3;Vægterpladsen 3;1921;1600;Renaissance;Forhuset, del af byens vægterhus (1600-tallet, grundmuret 1768, forhøjet med en etage i sidste del af 1800-tallet). Fredet 1921.*;Vægterpladsen 3, Aabenraa, Danmark;55,0448890;9,4163130
Aabenraa;Vægterpladsen 5, hj;af Store Pottergade;1971;1600;Renaissance;Vægterpladsen 5. Forhuset, del af byens vægterhus (1600-tallet, grundmuret 1768, ombygget kort efter 1827). Fredet 1971.*;Vægterpladsen 5, hj, Aabenraa, Danmark;;
Aabenraa;Brundlund Slot 1;Brundlund Slot, Amtmandsboligen;1921;ca. 1411-29;Medieval;Hovedbygningen og porthuset (ca. 1411-29, ca. 1581, ca. 1600-10 og 1805-07 af C.F. Hansen) samt det grundmurede hus i syd. Fredet 1921.;Brundlund Slot 1, Aabenraa, Danmark;55,0393460;9,4139690
Aabenraa;Egvadvej 20;Egvad Kirkestald;1971;middelalder;Medieval;Staldbygningen. Fredet 1971.*;Egvadvej 20, Aabenraa, Danmark;55,0765770;9,2529660
Aabenraa;Dyrhave 101;Eldorado;2000;1769;Classicism;Det firelængede gårdanlæg bestående af stuehuset (1769), huggehuset (formentlig 1769), de to sammenbyggede avlslænger (1769, ombygget 1926) samt de to forbindende mure med portåbninger. Fredet 2000.*;Dyrhave 101, Aabenraa, Danmark;55,0495490;9,4808850
Aabenraa;Fiskergade 8;Fiskergade 8;1971;1779;Classicism;Forhus og sidehus (opr. gavlhus med fløj langs gaden opført 1779 og ombygget 1805, dør og dørindfatning 1779). Fredet 1971.*;Fiskergade 8, Aabenraa, Danmark;55,0416760;9,4201290
Aabenraa;Flensborgvej 158;Bomhuset, Flensborgvej 158;1992;1847;Classicism;Bomhuset (1847). Fredet 1992.*;Flensborgvej 158, Aabenraa, Danmark;55,0224440;9,4306230
Aabenraa;Gildegade 15;Gildegade 15;1921;1752;Classicism;Dobbelthuset (1752). Fredet 1921.*;Gildegade 15, Aabenraa, Danmark;55,0422370;9,4207140
Aabenraa;Gildegade 5;Gildegade 5;1921;1775;Classicism;Det grundmurede, ni fag dybe gavlhus (opr. fire våninger, mellem 1775 og 1785). Fredet 1921.;Gildegade 5, Aabenraa, Danmark;55,0426340;9,4213120
Aabenraa;Gildegade 6;Gildegade 6;1977;1754;Classicism;Forhuset (den ndr. halvdel af dobbeltvåning, mellem 1754 og 1759, noget ændret ca. 1890). Fredet 1977.*;Gildegade 6, Aabenraa, Danmark;55,0427250;9,4208160
Aabenraa;Kirkeplads 7;Den gamle Pigeskole;1983;1755;Classicism;Forhuset (ca. 1755). Fredet 1983.;Kirkeplads 7, Aabenraa, Danmark;55,0445780;9,4175360
Aabenraa;Klinkbjerg 1;Klinkbjerg 1;1921;1752;Classicism;Det grundmurede, 11 fag dybe gavlhus (1752, delvis ombygget 1875). Fredet 1921.;Klinkbjerg 1, Aabenraa, Danmark;55,0466920;9,4163770
Aabenraa;Klinkbjerg 2;Klinkbjerg 2;1972;1835;Classicism;Forhuset (1835-36) og det bagved liggende bulhus (mellem 1754 og 1764). Fredet 1972.*;Klinkbjerg 2, Aabenraa, Danmark;55,0468440;9,4166030
Aabenraa;Lille Pottergade 4;Lille Pottergade 4;1977;1789;Classicism;Forhuset (1789). Fredet 1977.*;Lille Pottergade 4, Aabenraa, Danmark;55,0446600;9,4168180
Aabenraa;Nygade 59;Richelsens Stiftelse;1977;1845;Classicism;Forhuset (mellem 1845 og 1852). Fredet 1977.*;Nygade 59, Aabenraa, Danmark;55,0432410;9,4157720
Aabenraa;Persillegade 3 A-B;Jomfru Fannys Hus;1977;1752;Classicism;Forhusene (1752 og senere). Fredet 1977.*;Persillegade 3 A-B, Aabenraa, Danmark;55,0445275;9,4147364
Aabenraa;Præstegaardsvej 7;Felsted Præstegård;1932;1788;Classicism;Stuehuset og de to udlænger (1788). Fredet 1932.*;Præstegaardsvej 7, Aabenraa, Danmark;54,9769440;9,4959800
Aabenraa;Røllum Bygade 41;Jacobsgård;1986;1790;Classicism;Den trelængede gård (før 1790) med brolagt gårdsplads. Fredet 1986.*;Røllum Bygade 41, Aabenraa, Danmark;54,9904450;9,3903340
