Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Aabenraa;Brundlund Slot 1;Brundlund Slot, Amtmandsboligen;1921;ca. 1411-29;Hovedbygningen og porthuset (ca. 1411-29, ca. 1581, ca. 1600-10 og 1805-07 af C.F. Hansen) samt det grundmurede hus i syd. Fredet 1921.
Aabenraa;Dyrhave 101;Eldorado;2000;1769;Det firelængede gårdanlæg bestående af stuehuset (1769), huggehuset (formentlig 1769), de to sammenbyggede avlslænger (1769, ombygget 1926) samt de to forbindende mure med portåbninger. Fredet 2000.*
Aabenraa;Egvadvej 20;Egvad Kirkestald;1971;;Staldbygningen. Fredet 1971.*
Aabenraa;Fiskergade 3 A;Fiskergade 3 A;1977;1744;Det 11 fag dybe gavlhus (før 1744, delvis grundmuret mellem 1825 og 1835) med den korte sidebygning. Fredet 1977.*
Aabenraa;Fiskergade 8;Fiskergade 8;1971;1779;Forhus og sidehus (opr. gavlhus med fløj langs gaden opført 1779 og ombygget 1805, dør og dørindfatning 1779). Fredet 1971.*
Aabenraa;Flensborgvej 158;Bomhuset, Flensborgvej 158;1992;1847;Bomhuset (1847). Fredet 1992.*
Aabenraa;Gildegade 15;Gildegade 15;1921;1752;Dobbelthuset (1752). Fredet 1921.*
Aabenraa;Gildegade 5;Gildegade 5;1921;1775;Det grundmurede, ni fag dybe gavlhus (opr. fire våninger, mellem 1775 og 1785). Fredet 1921.
Aabenraa;Gildegade 6;Gildegade 6;1977;1754;Forhuset (den ndr. halvdel af dobbeltvåning, mellem 1754 og 1759, noget ændret ca. 1890). Fredet 1977.*
Aabenraa;H.P;Hanssens Gade 42;2013;1901;Amtshus (Kreishaus), Aabenraa. Det trefløjede amtshus (Kreishaus) (1901 af F.W.A. Jablonowski). Fredet 2013.*
Aabenraa;Jernbanegade 2;Åbenrå Banegård;1988;1867;Stationsbygningen (1867 af N.P. Holsøe). Fredet 1988.
Aabenraa;Kirkeplads 7;Den gamle Pigeskole;1983;1755;Forhuset (ca. 1755). Fredet 1983.
Aabenraa;Kirkeplads 8 A-C;Den gamle Drengeskole;1978;1737;Kirkeplads 8A-B: forhuset (1737, sydsiden forhøjet til to etager mellem 1853 og 1855). Kirkeplads 8C: baghuset (1855), opført som værkstedsbygning. Fredet 1978. Udvidet 1990.*
Aabenraa;Klinkbjerg 1;Klinkbjerg 1;1921;1752;Det grundmurede, 11 fag dybe gavlhus (1752, delvis ombygget 1875). Fredet 1921.
Aabenraa;Klinkbjerg 2;Klinkbjerg 2;1972;1835;Forhuset (1835-36) og det bagved liggende bulhus (mellem 1754 og 1764). Fredet 1972.*
Aabenraa;Lille Pottergade 4;Lille Pottergade 4;1977;1789;Forhuset (1789). Fredet 1977.*
Aabenraa;Lille Pottergade 5;Leistmanns Fattighus;1977;1744;Forhuset (før 1744, grundmuret mellem 1764 og 1775 samt senere). Fredet 1977.*
Aabenraa;Lindsnakkevej 95;Haus Lensnack;2018;1909;Villaen Haus Lensnack (1909-10 af Anton Huber, udv. 2001) med tilhørende haveanlæg. Fredet 2018
Aabenraa;Nybro 14;Nybro 14;1921;1705;Gavlhuset (10 fag langt bindingsværkshus 1705 med det 1781 tilføjede, grundmurede fag med gavlen mod gaden) samt muren langs gaden (ca. 1750). Fredet 1921.*
Aabenraa;Nygade 44;Nygade 44;1977;1740;Det grundmurede forhus (1740) og baghus (1864). Fredet 1977.*
Aabenraa;Nygade 45;Nygade 45;1977;1737;Det grundmurede gavlhus (1737, forlænget med tre fag mellem 1751 og 1754, forhøjet i 1866) og den dermed sammenbyggede sidebygning med bulkonstruktion i gårdsidens 2. etage (formentlig 1. halvdel af 1800-tallet) samt gårdspladsens brolægning. Fredet 1977.*
Aabenraa;Nygade 59;Richelsens Stiftelse;1977;1845;Forhuset (mellem 1845 og 1852). Fredet 1977.*
Aabenraa;Nygade 62;Nygade 62;1979;1744;Gavlhuset (før 1744, helt omsat i grundmur mellem 1825 og 1900). Fredet 1979.*
